	NT2000-80-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
543.457031	-12.98	-6.72	0.93
544.921875	-12.93	-6.10	0.95
546.386719	-12.88	-5.54	0.98
547.851563	-12.82	-5.03	0.99
549.316406	-12.77	-4.56	0.99
550.781250	-12.71	-4.12	0.98
552.246094	-12.66	-3.73	0.96
553.710938	-12.61	-3.37	0.98
555.175781	-12.56	-3.05	0.99
556.640625	-12.51	-2.74	0.98
558.105469	-12.45	-2.46	0.98
559.570313	-12.40	-2.21	0.96
561.035156	-12.34	-1.99	0.95
562.500000	-12.27	-1.78	0.92
563.964844	-12.21	-1.63	0.96
565.429688	-12.16	-1.51	0.98
566.894531	-12.11	-1.47	0.89
568.359375	-12.07	-1.43	0.85
569.824219	-12.03	-1.42	0.74
571.289063	-11.99	-1.41	0.90
572.753906	-11.97	-1.23	0.95
574.218750	-11.96	-0.91	0.91
575.683594	-11.94	-0.52	0.83
577.148438	-11.91	-0.10	0.70
578.613281	-11.85	0.32	0.87
580.078125	-11.77	0.73	0.84
581.542969	-11.69	1.03	0.81
583.007813	-11.62	1.26	0.98
584.472656	-11.54	1.46	0.98
585.937500	-11.47	1.61	0.98
587.402344	-11.40	1.71	0.99
588.867188	-11.32	1.76	0.99
590.332031	-11.25	1.75	0.99
591.796875	-11.19	1.68	0.99
593.261719	-11.13	1.60	0.99
594.726563	-11.07	1.51	0.99
596.191406	-11.02	1.45	0.99
597.656250	-10.97	1.41	0.98
599.121094	-10.91	1.39	0.98
600.585938	-10.85	1.36	0.99
602.050781	-10.79	1.34	0.96
603.515625	-10.71	1.30	0.98
604.980469	-10.63	1.21	0.98
606.445313	-10.55	1.10	0.99
607.910156	-10.47	0.94	0.99
609.375000	-10.38	0.73	1.00
610.839844	-10.30	0.46	0.99
612.304688	-10.23	0.12	0.99
613.769531	-10.15	-0.28	0.99
615.234375	-10.09	-0.75	1.00
616.699219	-10.03	-1.27	0.99
618.164063	-9.98	-1.84	0.99
619.628906	-9.94	-2.44	0.99
621.093750	-9.92	-3.04	0.99
622.558594	-9.90	-3.60	0.98
624.023438	-9.88	-4.11	0.99
625.488281	-9.87	-4.59	0.99
626.953125	-9.87	-5.02	0.99
628.417969	-9.86	-5.42	0.98
629.882813	-9.86	-5.80	0.98
631.347656	-9.85	-6.15	0.93
632.812500	-9.84	-6.50	0.98
634.277344	-9.82	-6.85	0.99
635.742188	-9.80	-7.23	0.97
637.207031	-9.78	-7.64	0.95
638.671875	-9.75	-8.10	0.96
640.136719	-9.73	-8.64	0.97
641.601563	-9.72	-9.24	0.97
643.066406	-9.71	-9.84	0.98
644.531250	-9.72	-10.43	0.98
645.996094	-9.73	-10.99	0.99
647.460938	-9.74	-11.52	0.99
648.925781	-9.77	-12.00	0.98
650.390625	-9.79	-12.47	0.95
651.855469	-9.82	-12.88	0.94
653.320313	-9.85	-13.29	0.96
654.785156	-9.88	-13.69	0.98
656.250000	-9.91	-14.09	0.98
657.714844	-9.93	-14.49	0.93
659.179688	-9.96	-14.88	0.96
660.644531	-9.99	-15.27	0.97
662.109375	-10.01	-15.66	0.96
663.574219	-10.04	-16.03	0.98
665.039063	-10.06	-16.37	0.97
666.503906	-10.08	-16.70	0.93
667.968750	-10.10	-17.01	0.88
669.433594	-10.12	-17.33	0.89
670.898438	-10.15	-17.64	0.94
672.363281	-10.17	-17.92	0.94
673.828125	-10.20	-18.14	0.84
675.292969	-10.23	-18.28	0.96
676.757813	-10.27	-18.35	0.99
678.222656	-10.31	-18.40	0.92
679.687500	-10.35	-18.41	0.89
681.152344	-10.40	-18.36	0.93
682.617188	-10.45	-18.28	0.98
684.082031	-10.50	-18.15	0.95
685.546875	-10.55	-17.98	0.98
687.011719	-10.59	-17.77	0.97
688.476563	-10.63	-17.52	0.95
689.941406	-10.67	-17.23	0.98
691.406250	-10.71	-16.91	0.99
692.871094	-10.74	-16.56	0.96
694.335938	-10.76	-16.19	0.90
695.800781	-10.78	-15.82	0.76
697.265625	-10.80	-15.44	0.81
698.730469	-10.81	-15.09	0.94
700.195313	-10.82	-14.77	0.90
701.660156	-10.83	-14.48	0.91
703.125000	-10.82	-14.15	0.94
704.589844	-10.82	-13.82	0.92
706.054688	-10.82	-13.46	0.93
707.519531	-10.81	-13.10	0.90
708.984375	-10.80	-12.71	0.93
710.449219	-10.78	-12.30	0.89
711.914063	-10.75	-11.92	0.97
713.378906	-10.72	-11.58	0.94
714.843750	-10.69	-11.29	0.96
716.308594	-10.67	-11.02	0.97
717.773438	-10.65	-10.74	0.99
719.238281	-10.63	-10.45	1.00
720.703125	-10.60	-10.15	0.99
722.167969	-10.58	-9.86	0.97
723.632813	-10.56	-9.57	0.97
725.097656	-10.54	-9.27	0.96
726.562500	-10.52	-8.89	0.99
728.027344	-10.51	-8.40	0.95
729.492188	-10.50	-7.79	0.88
730.957031	-10.50	-7.08	0.86
732.421875	-10.50	-6.29	0.91
733.886719	-10.49	-5.42	0.85
735.351563	-10.48	-4.49	0.73
736.816406	-10.47	-3.52	0.71
738.281250	-10.45	-2.57	0.84
739.746094	-10.44	-1.82	0.87
741.210938	-10.43	-1.15	0.94
742.675781	-10.41	-0.54	0.96
744.140625	-10.39	-0.01	0.98
745.605469	-10.37	0.45	0.96
747.070313	-10.34	0.83	0.98
748.535156	-10.32	1.11	0.97
750.000000	-10.29	1.30	0.99
751.464844	-10.27	1.42	0.99
752.929688	-10.25	1.51	0.99
754.394531	-10.23	1.55	0.99
755.859375	-10.21	1.54	0.97
757.324219	-10.19	1.48	0.89
758.789063	-10.17	1.41	0.91
760.253906	-10.16	1.30	0.99
761.718750	-10.14	1.17	0.98
763.183594	-10.13	1.04	0.99
764.648438	-10.12	0.88	0.99
766.113281	-10.10	0.72	0.99
767.578125	-10.09	0.56	0.99
769.042969	-10.08	0.39	0.99
770.507813	-10.07	0.23	0.99
771.972656	-10.05	0.07	0.96
773.437500	-10.03	-0.08	0.98
774.902344	-10.01	-0.24	0.94
776.367188	-9.98	-0.40	0.86
777.832031	-9.95	-0.58	0.73
779.296875	-9.91	-0.76	0.88
780.761719	-9.86	-0.95	0.85
782.226563	-9.82	-1.17	0.83
783.691406	-9.77	-1.46	0.89
785.156250	-9.72	-1.78	0.91
786.621094	-9.67	-2.18	0.66
788.085938	-9.63	-2.67	0.79
789.550781	-9.59	-3.20	0.86
791.015625	-9.57	-3.70	0.97
792.480469	-9.55	-4.18	0.97
793.945313	-9.53	-4.62	0.97
795.410156	-9.53	-5.01	0.97
796.875000	-9.53	-5.38	0.95
798.339844	-9.53	-5.71	0.98
799.804688	-9.54	-6.01	0.98
801.269531	-9.54	-6.27	0.99
802.734375	-9.55	-6.52	0.99
804.199219	-9.56	-6.75	0.98
805.664063	-9.56	-6.98	0.99
807.128906	-9.57	-7.21	0.99
808.593750	-9.58	-7.44	0.99
810.058594	-9.59	-7.67	0.99
811.523438	-9.60	-7.88	0.99
812.988281	-9.61	-8.09	0.99
814.453125	-9.63	-8.27	0.98
815.917969	-9.65	-8.42	1.00
817.382813	-9.66	-8.54	0.96
818.847656	-9.68	-8.65	0.98
820.312500	-9.69	-8.74	0.98
821.777344	-9.70	-8.83	0.99
823.242188	-9.70	-8.92	0.99
824.707031	-9.70	-9.00	0.99
826.171875	-9.70	-9.08	0.97
827.636719	-9.69	-9.17	0.94
829.101563	-9.67	-9.29	0.94
830.566406	-9.66	-9.46	0.97
832.031250	-9.65	-9.68	0.99
833.496094	-9.65	-9.94	1.00
834.960938	-9.65	-10.24	0.99
836.425781	-9.65	-10.60	0.98
837.890625	-9.65	-10.98	0.98
839.355469	-9.66	-11.39	0.99
840.820313	-9.68	-11.79	0.99
842.285156	-9.71	-12.18	0.97
843.750000	-9.74	-12.54	1.00
845.214844	-9.77	-12.86	0.99
846.679688	-9.81	-13.16	0.99
848.144531	-9.86	-13.42	0.99
849.609375	-9.90	-13.65	0.99
851.074219	-9.95	-13.84	0.99
852.539063	-10.00	-13.99	0.99
854.003906	-10.05	-14.11	0.99
855.468750	-10.10	-14.19	0.99
856.933594	-10.15	-14.26	0.99
858.398438	-10.19	-14.30	0.98
859.863281	-10.23	-14.34	0.97
861.328125	-10.27	-14.37	0.97
862.792969	-10.30	-14.41	0.99
864.257813	-10.33	-14.45	0.99
865.722656	-10.36	-14.49	0.99
867.187500	-10.39	-14.54	0.99
868.652344	-10.43	-14.59	0.99
870.117188	-10.46	-14.63	0.99
