	NT2000-50-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
561.035156	-2.35	30.02	1.00
562.500000	-2.31	30.13	1.00
563.964844	-2.27	30.22	1.00
565.429688	-2.24	30.31	1.00
566.894531	-2.20	30.37	1.00
568.359375	-2.17	30.43	1.00
569.824219	-2.14	30.48	1.00
571.289063	-2.10	30.51	1.00
572.753906	-2.07	30.52	1.00
574.218750	-2.05	30.51	1.00
575.683594	-2.02	30.49	1.00
577.148438	-2.00	30.50	1.00
578.613281	-1.98	30.52	1.00
580.078125	-1.96	30.55	1.00
581.542969	-1.93	30.59	1.00
583.007813	-1.91	30.63	1.00
584.472656	-1.88	30.66	1.00
585.937500	-1.85	30.68	1.00
587.402344	-1.82	30.69	1.00
588.867188	-1.78	30.68	1.00
590.332031	-1.74	30.64	1.00
591.796875	-1.71	30.57	1.00
593.261719	-1.68	30.48	1.00
594.726563	-1.65	30.36	1.00
596.191406	-1.62	30.19	0.99
597.656250	-1.59	29.98	1.00
599.121094	-1.57	29.79	1.00
600.585938	-1.56	29.62	1.00
602.050781	-1.55	29.46	1.00
603.515625	-1.53	29.31	1.00
604.980469	-1.52	29.16	1.00
606.445313	-1.51	29.00	1.00
607.910156	-1.51	28.84	1.00
609.375000	-1.50	28.68	1.00
610.839844	-1.50	28.53	1.00
612.304688	-1.50	28.41	1.00
613.769531	-1.51	28.30	1.00
615.234375	-1.51	28.20	1.00
616.699219	-1.51	28.12	1.00
618.164063	-1.52	28.04	1.00
619.628906	-1.52	27.96	1.00
621.093750	-1.52	27.89	1.00
622.558594	-1.53	27.82	1.00
624.023438	-1.53	27.74	1.00
625.488281	-1.54	27.67	1.00
626.953125	-1.54	27.59	1.00
628.417969	-1.55	27.50	0.99
629.882813	-1.56	27.42	1.00
631.347656	-1.58	27.36	1.00
632.812500	-1.60	27.32	1.00
634.277344	-1.61	27.31	1.00
635.742188	-1.63	27.32	1.00
637.207031	-1.65	27.35	1.00
638.671875	-1.67	27.39	1.00
640.136719	-1.68	27.45	1.00
641.601563	-1.70	27.52	1.00
643.066406	-1.71	27.59	1.00
644.531250	-1.72	27.68	1.00
645.996094	-1.73	27.77	1.00
647.460938	-1.74	27.86	1.00
648.925781	-1.74	27.96	1.00
650.390625	-1.74	28.06	1.00
651.855469	-1.75	28.16	1.00
653.320313	-1.74	28.26	1.00
654.785156	-1.74	28.34	1.00
656.250000	-1.73	28.42	1.00
657.714844	-1.72	28.49	1.00
659.179688	-1.71	28.54	1.00
660.644531	-1.70	28.57	1.00
662.109375	-1.69	28.59	1.00
663.574219	-1.68	28.58	1.00
665.039063	-1.66	28.55	1.00
666.503906	-1.65	28.50	1.00
667.968750	-1.64	28.41	0.99
669.433594	-1.62	28.28	0.98
670.898438	-1.62	28.11	1.00
672.363281	-1.62	27.92	0.99
673.828125	-1.62	27.72	0.98
675.292969	-1.63	27.53	0.98
676.757813	-1.64	27.34	0.98
678.222656	-1.65	27.15	0.99
679.687500	-1.66	26.96	0.99
681.152344	-1.68	26.80	0.99
682.617188	-1.71	26.67	0.99
684.082031	-1.73	26.59	0.99
685.546875	-1.76	26.55	0.99
687.011719	-1.79	26.54	1.00
688.476563	-1.81	26.57	1.00
689.941406	-1.84	26.62	1.00
691.406250	-1.85	26.68	1.00
692.871094	-1.87	26.76	1.00
694.335938	-1.89	26.84	1.00
695.800781	-1.90	26.93	1.00
697.265625	-1.91	27.04	1.00
698.730469	-1.93	27.14	1.00
700.195313	-1.93	27.26	1.00
701.660156	-1.94	27.38	1.00
703.125000	-1.95	27.49	1.00
704.589844	-1.95	27.61	1.00
706.054688	-1.95	27.71	1.00
707.519531	-1.96	27.82	1.00
708.984375	-1.96	27.92	1.00
710.449219	-1.96	28.02	1.00
711.914063	-1.97	28.13	1.00
713.378906	-1.97	28.24	1.00
714.843750	-1.97	28.36	1.00
716.308594	-1.98	28.48	1.00
717.773438	-1.98	28.61	1.00
719.238281	-1.98	28.75	1.00
720.703125	-1.98	28.89	0.99
722.167969	-1.98	29.05	1.00
723.632813	-1.98	29.21	1.00
725.097656	-1.97	29.38	1.00
726.562500	-1.97	29.55	1.00
728.027344	-1.96	29.72	1.00
729.492188	-1.94	29.90	1.00
730.957031	-1.93	30.06	1.00
732.421875	-1.91	30.21	1.00
733.886719	-1.89	30.36	1.00
735.351563	-1.87	30.48	0.99
736.816406	-1.84	30.59	1.00
738.281250	-1.82	30.68	0.99
739.746094	-1.80	30.75	0.97
741.210938	-1.78	30.84	0.98
742.675781	-1.77	30.95	1.00
744.140625	-1.75	31.05	1.00
745.605469	-1.74	31.14	0.99
747.070313	-1.72	31.22	1.00
748.535156	-1.70	31.29	1.00
750.000000	-1.69	31.35	1.00
751.464844	-1.67	31.38	1.00
752.929688	-1.65	31.41	1.00
754.394531	-1.64	31.43	1.00
755.859375	-1.63	31.44	1.00
757.324219	-1.62	31.44	1.00
758.789063	-1.61	31.45	1.00
760.253906	-1.60	31.45	1.00
761.718750	-1.59	31.44	0.99
763.183594	-1.59	31.42	1.00
764.648438	-1.58	31.40	1.00
766.113281	-1.58	31.37	1.00
767.578125	-1.58	31.36	1.00
769.042969	-1.59	31.35	1.00
770.507813	-1.59	31.35	1.00
771.972656	-1.60	31.36	1.00
773.437500	-1.61	31.38	1.00
774.902344	-1.61	31.42	1.00
776.367188	-1.62	31.48	1.00
777.832031	-1.63	31.56	1.00
779.296875	-1.64	31.64	1.00
780.761719	-1.64	31.73	1.00
782.226563	-1.65	31.83	1.00
783.691406	-1.65	31.93	1.00
785.156250	-1.65	32.04	1.00
